BRA_BRAND_NO;BRA_SHORT_NAME;VIEW_TERM_PLAIN
3259;THEUWISSEN;THEUWISSEN
3260;LEODEGROOT;LEO DE GROOT
3261;STATIM;STATIM
3262;DETA;DETA
3263;EQ;EQUAL QUALITY
3264;MOTUL;MOTUL
3265;COOPERSFIA;CoopersFiaam
3266;STOP;STOP
3267;EUROPESTAR;EUROPESTAR
3268;MOTAQUIP;MOTAQUIP
3269;SIGNATURE;SIGNATURE SERIES
3270;RUNSTOP;RUNSTOP
3271;NPS;NPS
3272;FISPA;FISPA
3273;SHUGUANG;SHUGUANG
3274;DAIHAT FAW;DAIHATSU (FAW)
3275;ASHUKI;ASHUKI by Palidium
3276;HSV;HSV
3277;FERQUI;FERQUI
3278;ENERGIZER;ENERGIZER
3279;KLARIUS;KLARIUS
3280;SK;SK
3281;PILKINGTON;PILKINGTON
3282;PLAXTON;PLAXTON
3283;DMB;DMB
3284;RELY;RELY
3285;RIICH;RIICH
3286;KARRY;KARRY
3287;THERMAX;TherMax
3288;OTO_AUTOTE;AUTOTECH
3289;LASO_HIDIR;LASO
3290;RPK;RPK
3291;AB;AB COMPONENTS
3292;BRECAV;BRECAV
3293;BMCAIRFILT;BMC Air Filter
3294;TINN_THULE;THULE
3295;TINN_BRINK;BRINK
3296;UCEL;UCEL
3297;FPV;FPV
3298;TSN;TSN
3299;IPS PARTS;IPS Parts
3300;MAXUS;MAXUS
3301;DRI;DRI
3302;SERCA;SERCA
3303;TALOSA;TALOSA
3304;CECAUTO;CECAUTO
3305;TEKNOROT;TEKNOROT
3306;IR;IR
3307;MAFIX;MAFIX
3308;FRENZAR;FRENZAR
3309;NUOVA TECN;NUOVA TECNODELTA
3310;WOLF;WOLF
3311;VAPSINT;VAPSINT
3312;VEMA;VEMA
3313;LEADER PAR;LEADER PARTS
3314;METALFREN;METALFREN
3315;TEHAG;TEHAG
3316;SOFIMA_CN;SOFIMA-CN
3317;EMINOX;EMINOX
3321;VITKUS;VITKUS
3325;PURITECH;PURITECH
3327;BOSCH_STAH;BOSCH
3328;TESLA M.;TESLA
3329;RAVENOL;RAVENOL
3330;MFILTER;MFILTER
3331;APEX;APEX
3332;EMGRAND;EMGRAND
3333;HARO EP;HARO EP
3336;UNION;UNION
3338;RHIAG_OJD;OJD
3340;RHIAG_BRIN;BRINK
3342;VIPIEMME;VIPIEMME
3344;CS GERMANY;CS Germany
3345;WOLF OIL;WOLF
3346;REPCO GC;Repco
3347;PALIDIUM;PALIDIUM
3348;CONTINE_CN;CONTINENTAL-CN
3349;WELTE;WELTE
3350;AUTO ONE;AUTO ONE
3351;ECP;EURO CAR PARTS
3352;GEMO;GEMO
3353;IMPARTS;IMPARTS
3354;SHELL;SHELL
3355;HDE;HDE
3356;JOHNSON C;JOHNSON CONTROLS
3357;DONMEZ;DÖNMEZ
3358;KALE;KALE OTO RADYATÖR
3359;MAPA;MAPA
3360;DITAS;DITAS
3361;OEMPARTS;OEMparts
3362;SAMI;SAMI
3363;CABOR;CABOR
3364;GALFER;GALFER
3365;PANHARD;PANHARD
3366;FRAP;FRAP
3367;MONT BLANC;MONT BLANC
3368;AUTOAIR G;AUTO AIR GLOUCESTER
3369;DYNAMATRIX;DYNAMATRIX
3370;H.HESS/BUR;BURKERT
3371;H.HESS_AGC;AGC Karosserie
3372;H.HESS/ALB;ALBRECHT
3373;H.HESS/APA;APA
3374;H.HESS/ASA;ASATEX
3375;H.HESS/AT;ATERA
3376;H.HESS/BAL;BALO
3377;BANNER POI;BANNER
3378;H.HESS/BEI;BEISSBARTH
3379;H.HESS/CAR;CARCAT
3380;H.HESS/DAN;DANA
3381;H.HESS/DEB;deb
3382;SIEGEL AUT;SIEGEL Automotive
3383;SURE FILTE;SURE FILTER
3384;H.HESS/FRI;FRIMATEC
3385;H.HESS/FUC;FUCHS
3386;K-FORCE;K-FORCE
3387;INTERVALVE;INTERVALVES
3388;AUTOMOTOR;AUTOMOTOR France
3389;H.HESS/LAS;LASO
3390;QF;QUATTRO FRENI
3391;TENACITY;TENACITY
3392;DRIVEWAY;DRIVEWAY
3393;H.HESS/MIB;MIBA
3394;H.HESS/OMP;OMP
3395;ELTA AUTOM;ELTA AUTOMOTIVE
3396;DODA;DODA
3397;H.HESS/RET;RETEC
3398;FORMA;FORMA
3399;SPEEDMATE;SpeedMate
3400;ITSA;ITSA
3401;H.HESS/SIE;SIEMENS VDO
3402;AMALIE;AMALIE
3403;H.HESS/SON;SONAX
3404;H.HESS/SPX;SPX
3405;DACO;DACo
3406;H.HESS/TRI;TRIFA
3407;WD-40;WD-40
3408;CARAMBA;CARAMBA
3409;BGA;BGA
3410;ALANKO;ALANKO
3411;KLITECH;KLITECH
3412;JAPKO;JAPKO
3413;FINWHALE;FINWHALE
3414;CLIMAIR;ClimAir
3415;CASCO;CASCO
3416;DIVINOL;DIVINOL
3417;FRENTEC;FRENTEC
3418;BASF;BASF
3419;DRIVETEC;DriveTec
3420;EZ;EZ
3421;TURBO-MOT;TURBO-MOT
3422;JESSE LAI;JESSE LAI Inc.
3423;ACKOJA;ACKOJA
3424;MS KOLBENS;MS (Koblenschmidt)
3425;MS MOTORS;MS (Motor Service)
3426;STOP&GO;STOP&GO
3427;QUICKSTEER;QUICK STEER
3428;NARVA;NARVA
3429;AP AUTOMOT;AP Automotive Prod.
3430;AGIP;AGIP
3431;COBUS;COBUS
3432;HITEC;HITEC
3433;PETEC;PETEC
3438;BGN PARTS;BGN Parts
3439;EEC;EEC
3443;TAZZARI;TAZZARI
3444;ELITE;ELITE
3446;MULLER FIL;MULLER FILTER
3447;AKRON;AKRON
3448;RCAFRANCE;RCA FRANCE
3449;LOHR GROUP;LOHR
3450;TRUCKTECHN;TRUCKTECHNIC
3451;BRISK;BRISK
3452;COJALI;COJALI
3453;VANLEO;VANLEO
3454;TOTAL;TOTAL
3455;CX;CX
3456;RING;RING
3457;OTO_MA-PA;MA-PA
3458;OTO_ISLER;ISLER PRES
3459;OTO_KALE;KALE OTO RADYATÖR
3460;OTO_OTO CO;OTO CONTA
3461;OTO_GB KAU;GB KAUCUK
3462;Kapimsan;KAPIMSAN
3463;OTO_RIW OT;RIW OTOMOTIV
3464;OTO_CAVO;CAVO
